exchange:binance, pre_coin:THETA, post_coin:BTC, p&l:0.005763761492450392 BTC
exchange:binance, pre_coin:ALGO, post_coin:USDT, p&l:0.006577771079186778 USDT
exchange:huobi, pre_coin:SUSHI, post_coin:USDT, p&l:-0.0016233522892680208 USDT
exchange:binancefuturepp, pre_coin:SRM, post_coin:USDT, p&l:0.007261386195310804 USDT
exchange:binancefuturepp, pre_coin:AAVE, post_coin:USDT, p&l:-0.019245306545703333 USDT
exchange:okexfuturenw, pre_coin:BSV, post_coin:USD, p&l:0.00035674456446566083 USD
exchange:huobifuturepp, pre_coin:ADA, post_coin:USD, p&l:-0.002385248376881921 USD
exchange:binance, pre_coin:STX, post_coin:BTC, p&l:0 BTC
exchange:okex, pre_coin:SKL, post_coin:USDT, p&l:0.01164620369510283 USDT
exchange:husdtcpp, pre_coin:LTC, post_coin:USDT, p&l:-0.0006090749624306779 USDT
exchange:binance, pre_coin:CRV, post_coin:BUSD, p&l:0.0065200758050614205 BUSD
exchange:binance, pre_coin:XEM, post_coin:BUSD, p&l:0.006138133645452459 BUSD
exchange:bitmextw, pre_coin:BCH, post_coin:BTC, p&l:0 BTC
exchange:binancefuturepp, pre_coin:BTC, post_coin:USDT, p&l:0.0009669681325734647 USDT
exchange:husdtpp, pre_coin:LUNA, post_coin:USDT, p&l:0.0023419729503175724 USDT
exchange:huobi, pre_coin:ZEN, post_coin:USDT, p&l:-0.008487335686975572 USDT
exchange:ftxfuturetw, pre_coin:FIL, post_coin:USD, p&l:-0.013340941084144298 USD
exchange:binancefuturepp, pre_coin:FLM, post_coin:USDT, p&l:0.013201706538083169 USDT
exchange:binance, pre_coin:STMX, post_coin:BUSD, p&l:-0.02531859773594969 BUSD
exchange:okex, pre_coin:MKR, post_coin:BTC, p&l:0 BTC
exchange:binance, pre_coin:REN, post_coin:BTC, p&l:-0.0060606060606061 BTC
exchange:husdtcpp, pre_coin:O3, post_coin:USDT, p&l:-0.16117940094316274 USDT
exchange:husdtpp, pre_coin:BAND, post_coin:USDT, p&l:-0.0020415330978795776 USDT
exchange:huobi, pre_coin:LINK, post_coin:BTC, p&l:0 BTC
exchange:binance, pre_coin:BNB, post_coin:BUSD, p&l:0.02172634937741824 BUSD
exchange:huobifuturepp, pre_coin:BCH, post_coin:USD, p&l:0.012796967240548796 USD
exchange:huobi, pre_coin:BAT, post_coin:BTC, p&l:0 BTC
exchange:huobi, pre_coin:ANT, post_coin:BTC, p&l:0.006098241274007377 BTC
exchange:binance, pre_coin:CHR, post_coin:BTC, p&l:0 BTC
exchange:okexfuturetw, pre_coin:ETH, post_coin:USD, p&l:0.001929332227820657 USD
exchange:okex, pre_coin:MANA, post_coin:USDT, p&l:-0.010022148316821244 USDT
exchange:binance, pre_coin:EOS, post_coin:BUSD, p&l:-0.005988279476942804 BUSD
exchange:binance, pre_coin:DENT, post_coin:USDT, p&l:0.041222248913830084 USDT
exchange:huobifuturetw, pre_coin:ETC, post_coin:USD, p&l:-0.0026193160219228906 USD
exchange:binancefuturepp, pre_coin:UNFI, post_coin:USDT, p&l:-0.02245823802097502 USDT
exchange:okexfuturenq, pre_coin:BSV, post_coin:USD, p&l:-0.004179225471286685 USD
exchange:binance, pre_coin:AVAX, post_coin:BTC, p&l:-0.0013412998414827904 BTC
exchange:binance, pre_coin:SFP, post_coin:USDT, p&l:0.007310791072159928 USDT
